sample_id,input_vcf,args
formats,src/data/test_formats.vcf,
warning_controls,local:assets/fixtures/vcfcheck-matrix/warning-controls.vcf,--apply-filters true --limit-records 4 --message-every 1 --strict-homref true --all-warnings true --check-bcf-errors false
ploidy,local:assets/fixtures/vcfcheck-matrix/ploidy.vcf,--limit-records=-1
negative_limit,local:assets/fixtures/vcfcheck-matrix/ploidy.vcf,--limit-records=-2
missing_contig,local:assets/fixtures/vcfcheck-matrix/missing-contig.vcf,--check-bcf-errors false
sample_count_mismatch,local:assets/fixtures/vcfcheck-matrix/sample-count-mismatch.vcf,--check-bcf-errors false
lowercase_x,local:assets/fixtures/vcfcheck-matrix/lowercase-x.vcf,--check-bcf-errors false
vcf44_number_p,local:assets/fixtures/external/ebi-vcf-validator/passed_meta_format_P_1.vcf,--check-bcf-errors false
invalid_pl_cardinality,local:assets/fixtures/external/ebi-vcf-validator/failed_body_samples_ploidy_000.vcf,--check-bcf-errors false
edge_alleles,local:assets/fixtures/vcfcheck-matrix/edge-alleles.vcf,--check-bcf-errors false
